Gene ID	Associated Gene Name	Chromosome/scaffold name	Gene Start (bp)	Gene End (bp)	Strand
ENSMUSG00000064372	mt-Tp	MT	15356	15422	-1
ENSMUSG00000064371	mt-Tt	MT	15289	15355	1
ENSMUSG00000064370	mt-Cytb	MT	14145	15288	1
ENSMUSG00000064369	mt-Te	MT	14071	14139	-1
ENSMUSG00000064368	mt-Nd6	MT	13552	14070	-1
ENSMUSG00000064367	mt-Nd5	MT	11742	13565	1
ENSMUSG00000064366	mt-Tl2	MT	11671	11741	1
ENSMUSG00000064365	mt-Ts2	MT	11613	11671	1
ENSMUSG00000064364	mt-Th	MT	11546	11612	1
ENSMUSG00000064363	mt-Nd4	MT	10167	11544	1
ENSMUSG00000065947	mt-Nd4l	MT	9877	10173	1
ENSMUSG00000064361	mt-Tr	MT	9808	9875	1
ENSMUSG00000064360	mt-Nd3	MT	9459	9806	1
ENSMUSG00000064359	mt-Tg	MT	9391	9458	1
ENSMUSG00000064358	mt-Co3	MT	8607	9390	1
ENSMUSG00000064357	mt-Atp6	MT	7927	8607	1
ENSMUSG00000064356	mt-Atp8	MT	7766	7969	1
ENSMUSG00000064355	mt-Tk	MT	7700	7764	1
ENSMUSG00000064354	mt-Co2	MT	7013	7696	1
ENSMUSG00000064353	mt-Td	MT	6942	7011	1
ENSMUSG00000064352	mt-Ts1	MT	6870	6938	-1
ENSMUSG00000064351	mt-Co1	MT	5328	6872	1
ENSMUSG00000064350	mt-Ty	MT	5260	5326	-1
ENSMUSG00000064349	mt-Tc	MT	5192	5257	-1
ENSMUSG00000064348	mt-Tn	MT	5089	5159	-1
ENSMUSG00000064347	mt-Ta	MT	5018	5086	-1
ENSMUSG00000064346	mt-Tw	MT	4950	5016	1
ENSMUSG00000064345	mt-Nd2	MT	3914	4951	1
ENSMUSG00000064344	mt-Tm	MT	3845	3913	1
ENSMUSG00000064343	mt-Tq	MT	3772	3842	-1
ENSMUSG00000064342	mt-Ti	MT	3706	3774	1
ENSMUSG00000064341	mt-Nd1	MT	2751	3707	1
ENSMUSG00000064340	mt-Tl1	MT	2676	2750	1
ENSMUSG00000064339	mt-Rnr2	MT	1094	2675	1
ENSMUSG00000064338	mt-Tv	MT	1025	1093	1
ENSMUSG00000064337	mt-Rnr1	MT	70	1024	1
ENSMUSG00000064336	mt-Tf	MT	1	68	1
ENSMUSG00000098458	Mir6971	17	34841809	34841871	-1
ENSMUSG00000087769	Gm23986	8	50563241	50563303	1
ENSMUSG00000041534	Rbp3	14	33954022	33964216	1
ENSMUSG00000091041	Gm17720	8	110082803	110102753	-1
ENSMUSG00000096239	Mir466b-4	2	10486423	10486512	1
